,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
1158,0.37,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.769043142289156,0.8868789234937895,0.8591192295684664,-0.9025576665033982,-0.3760065165125821,-0.1460827049843787,0.1581673378149778,0.1003910753664774,2.2119365552471064e-15,17.487037648106664,20
1159,0.39,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7632257228880132,0.8774261993125652,0.8784506790126382,-0.9108007782007986,-0.4395106492878528,-0.1743321170689424,0.1621550954584943,0.0994025670138401,2.2119365552471064e-15,17.487037648106664,20
1160,0.41,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7407750295643856,0.8596923842780883,0.8870880887967825,-0.907303197231656,-0.5063541894688811,-0.2055448505178122,0.1635060881444175,0.0981341653071272,2.2119365552471064e-15,17.487037648106664,20
1161,0.43,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7058308172682827,0.8376775579687509,0.8889590098390087,-0.8980570044750371,-0.569396088647997,-0.2326661232150992,0.1657924762542261,0.0969112973903795,2.2119365552471064e-15,17.487037648106664,20
1162,0.45,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.6717176747057145,0.817776251469886,0.8885510399120999,-0.8901830169334106,-0.6137072630506111,-0.253722795321571,0.1661755236248531,0.0959985823734297,2.2119365552471064e-15,17.487037648106664,20
1163,0.5,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.6459015171103817,0.7864044554754978,0.8720909189411925,-0.9050560346955244,-0.5238556357121299,-0.2722197810139609,0.1658023593734766,0.097422490503932,2.2119365552471064e-15,17.487037648106664,20
1164,0.55,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.6800369554474175,0.7560831561051006,0.8345167999135619,-0.909391454446754,-0.4877603225279773,-0.3015566258818627,0.1616669419988305,0.106560004325672,2.2119365552471064e-15,17.487037648106664,20
1165,0.6,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7179285342742263,0.6762605842856151,0.8447352747175053,-0.8965845323440107,-0.5197064348318087,-0.4387134142265028,0.1596451227960884,0.1159869487806111,2.2119365552471064e-15,17.487037648106664,20
1166,0.6499999999999999,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7279182064646955,0.6778273497040405,0.8676893541741012,-0.9058299547145896,-0.6557637651305392,-0.5197540235449434,0.1653083498511173,0.1167147808605782,2.2119365552471064e-15,17.487037648106664,20
1167,0.7,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7308801211997914,0.723968522098208,0.9054630812492804,-0.9027224247998402,-0.7886730948734405,-0.5627990169298123,0.1683155523183313,0.1142303299889034,2.2119365552471064e-15,17.487037648106664,20
1168,0.725,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7294906411019586,0.7428666041656002,0.921703226861329,-0.8997999398509527,-0.8214827447578376,-0.5658152958862664,0.1673169402166381,0.1134939008883899,2.2119365552471064e-15,17.487037648106664,20
1169,0.75,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.742724770398546,0.767562209243776,0.9353626838365438,-0.8934478421763645,-0.8486103558856153,-0.5642948310713882,0.1657353943410607,0.1126766350465757,2.2119365552471064e-15,17.487037648106664,20
1170,0.775,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7704290565536746,0.7990400596977606,0.9464875362454704,-0.8771623701442925,-0.8737250177525239,-0.5584499985907477,0.1640093919084237,0.1112950352195816,2.2119365552471064e-15,17.487037648106664,20
1171,0.8,8,144,1,1,1030,broad_xyz,21.99112410904393,False,0.7988668439477268,0.8293371398094886,0.9506845971055496,-0.8314143392527517,-0.8932609768177023,-0.5448748944476749,0.1616245528130664,0.1092711856365651,2.2119365552471064e-15,17.487037648106664,20
